rank,name,mix_alpha,annual_consumption_TWh,feasible_1pct,mix_annual_shortfall_TWh,n_months_total,mix_months_unmet,mix_worst_month_shortfall_TWh,solar_months_unmet,wind_months_unmet
1,Alaska,0.05,6.01,True,0.0,312,202,0.3,175,196
2,Arizona,0.85,75.61,True,0.0,312,191,2.59,198,171
3,Florida,0.85,230.14,False,142.36,312,187,6.23,185,137
4,Colorado,0.6,52.37,True,0.0,312,180,2.26,151,159
5,Washington,0.0,88.05,False,0.0,312,180,8.06,157,180
6,Ohio,0.5,152.86,False,68.89,312,175,4.75,150,136
7,Indiana,0.5,102.56,False,32.31,312,175,3.09,152,128
8,Utah,0.55,29.0,True,0.0,312,174,1.65,143,167
9,Oklahoma,0.6,59.55,True,0.0,312,174,2.0,141,134
10,Louisiana,0.55,86.26,False,0.0,312,173,3.65,150,135
11,California,0.35,253.37,True,0.0,312,173,14.62,157,161
12,New Mexico,0.9,23.26,True,0.0,312,172,0.98,158,173
13,Pennsylvania,0.3,144.22,False,33.72,312,171,6.48,153,154
14,Nebraska,0.5,29.71,True,0.0,312,171,1.09,152,130
15,Texas,0.4,387.66,True,0.0,312,171,18.57,166,143
16,Alabama,0.65,87.14,False,0.48,312,169,3.29,146,147
17,Kentucky,0.45,81.65,False,1.98,312,167,3.06,152,145
18,Georgia,0.65,134.84,False,35.41,312,167,5.47,158,137
19,North Carolina,0.55,130.92,False,41.29,312,167,5.22,148,148
20,Virginia,0.5,113.82,False,42.09,312,167,5.58,146,162
21,New Jersey,0.45,75.46,False,60.16,312,166,3.46,155,140
22,South Carolina,0.5,80.03,False,18.91,312,166,3.46,153,143
23,Missouri,0.55,79.54,True,0.0,312,166,2.81,138,129
24,West Virginia,0.45,31.54,False,0.0,312,164,1.51,150,167
25,North Dakota,0.05,17.04,True,0.0,312,164,0.91,154,166
26,Idaho,0.2,23.55,True,0.0,312,163,1.53,146,164
27,Massachusetts,0.5,53.68,False,38.48,312,163,2.41,148,166
28,Mississippi,0.55,47.82,True,0.0,312,162,2.08,154,139
29,New Hampshire,0.45,10.85,False,0.0,312,162,0.6,144,175
30,District of Columbia,0.4,11.03,False,10.89,312,162,0.47,151,145
31,Rhode Island,0.3,7.61,False,4.56,312,161,0.35,146,146
32,Vermont,0.4,5.55,True,0.0,312,161,0.34,149,175
33,Tennessee,0.55,100.16,False,25.2,312,160,3.52,152,147
34,Connecticut,0.3,29.67,False,16.86,312,160,1.33,147,164
35,Arkansas,0.4,46.56,True,0.0,312,159,2.52,144,133
36,Iowa,0.35,47.14,True,0.0,312,158,1.8,152,125
37,South Dakota,0.3,11.47,True,0.0,312,158,0.59,156,157
38,Minnesota,0.25,65.95,True,0.0,312,158,2.72,151,131
39,Kansas,0.3,39.7,True,0.0,312,157,2.02,143,137
40,Montana,0.0,14.29,True,0.0,312,157,0.71,157,157
41,Maryland,0.35,62.43,False,39.26,312,156,2.78,147,140
42,Nevada,0.95,35.04,True,0.0,312,156,1.57,152,162
43,Wyoming,0.3,15.82,True,0.0,312,156,0.66,155,164
44,Oregon,0.35,49.55,True,0.0,312,155,3.16,156,170
45,Maine,0.45,11.73,True,0.0,312,154,0.54,141,151
46,Michigan,0.3,103.38,True,0.0,312,153,3.65,152,134
47,Illinois,0.4,139.05,False,4.31,312,152,5.73,149,125
48,Wisconsin,0.2,68.74,True,0.0,312,152,3.18,148,136
49,New York,0.3,144.61,False,7.91,312,149,6.27,152,144
50,Hawaii,0.95,9.7,False,0.0,312,145,0.29,146,193
51,Delaware,0.3,11.54,False,5.97,312,145,0.56,159,141
